
step 0: train loss 3.1695, val loss 3.1715
iter 310: loss 1.3157, time 111.70ms, mfu 3.17%
iter 320: loss 1.2734, time 112.89ms, mfu 3.18%
iter 330: loss 1.2473, time 110.78ms, mfu 3.20%
iter 340: loss 1.2068, time 112.27ms, mfu 3.21%
iter 350: loss 1.1876, time 111.31ms, mfu 3.22%
iter 360: loss 1.1875, time 111.95ms, mfu 3.23%
iter 370: loss 1.1402, time 111.96ms, mfu 3.24%
iter 380: loss 1.0814, time 111.74ms, mfu 3.25%
iter 390: loss 1.0702, time 112.70ms, mfu 3.26%
iter 400: loss 1.0469, time 114.09ms, mfu 3.26%
iter 410: loss 1.0554, time 113.47ms, mfu 3.26%
iter 420: loss 1.0309, time 113.89ms, mfu 3.26%
iter 430: loss 0.9874, time 112.76ms, mfu 3.26%
iter 440: loss 0.9947, time 112.01ms, mfu 3.27%
iter 450: loss 1.0088, time 113.17ms, mfu 3.27%
iter 460: loss 1.0019, time 116.39ms, mfu 3.26%
iter 470: loss 0.9770, time 113.81ms, mfu 3.26%
iter 480: loss 0.9563, time 114.73ms, mfu 3.26%
iter 490: loss 0.9822, time 112.31ms, mfu 3.27%
step 500: train loss 0.8859, val loss 0.8841
saving checkpoint to out-nd-accel
iter 500: loss 0.9168, time 11381.80ms, mfu 2.94%
iter 510: loss 0.9451, time 113.85ms, mfu 2.98%
iter 520: loss 0.8991, time 114.87ms, mfu 3.00%
iter 530: loss 0.9467, time 114.25ms, mfu 3.03%
iter 540: loss 0.9553, time 114.25ms, mfu 3.05%
iter 550: loss 0.9220, time 116.06ms, mfu 3.07%
iter 560: loss 0.9361, time 116.37ms, mfu 3.08%
iter 570: loss 0.9335, time 113.59ms, mfu 3.10%
iter 580: loss 0.9427, time 116.07ms, mfu 3.11%
iter 590: loss 0.9273, time 114.96ms, mfu 3.12%
iter 600: loss 0.8971, time 114.96ms, mfu 3.13%
iter 610: loss 0.9162, time 114.47ms, mfu 3.15%
iter 620: loss 0.8778, time 116.63ms, mfu 3.15%
iter 630: loss 0.9278, time 116.95ms, mfu 3.15%
iter 640: loss 0.8960, time 115.61ms, mfu 3.16%
iter 650: loss 0.9060, time 116.48ms, mfu 3.16%
iter 660: loss 0.9226, time 116.21ms, mfu 3.17%
iter 670: loss 0.8855, time 117.15ms, mfu 3.17%
iter 680: loss 0.8707, time 115.23ms, mfu 3.17%
iter 690: loss 0.8864, time 114.47ms, mfu 3.18%
iter 700: loss 0.8944, time 114.38ms, mfu 3.19%
iter 710: loss 0.8929, time 114.42ms, mfu 3.20%
iter 720: loss 0.8514, time 116.55ms, mfu 3.20%
iter 730: loss 0.9156, time 114.47ms, mfu 3.20%
iter 740: loss 0.8566, time 114.04ms, mfu 3.21%
step 750: train loss 0.8547, val loss 0.8547
saving checkpoint to out-nd-accel
iter 750: loss 0.9041, time 11583.23ms, mfu 2.89%
iter 760: loss 0.8746, time 115.43ms, mfu 2.92%
iter 770: loss 0.8864, time 115.66ms, mfu 2.95%
iter 780: loss 0.9089, time 116.39ms, mfu 2.98%
iter 790: loss 0.8875, time 117.95ms, mfu 2.99%
iter 800: loss 0.8715, time 115.85ms, mfu 3.02%
iter 810: loss 0.8941, time 116.19ms, mfu 3.03%
iter 820: loss 0.8676, time 117.68ms, mfu 3.05%
iter 830: loss 0.8748, time 115.61ms, mfu 3.06%
iter 840: loss 0.8376, time 115.76ms, mfu 3.08%
iter 850: loss 0.8397, time 117.10ms, mfu 3.09%
iter 860: loss 0.8579, time 117.26ms, mfu 3.10%
iter 870: loss 0.8411, time 116.63ms, mfu 3.11%
iter 880: loss 0.8977, time 117.75ms, mfu 3.11%
iter 890: loss 0.9204, time 116.13ms, mfu 3.12%
iter 900: loss 0.8922, time 115.94ms, mfu 3.13%
iter 910: loss 0.8519, time 117.56ms, mfu 3.13%
iter 920: loss 0.8791, time 116.88ms, mfu 3.14%
iter 930: loss 0.8792, time 118.07ms, mfu 3.14%
iter 940: loss 0.8534, time 117.51ms, mfu 3.14%
iter 950: loss 0.9205, time 117.47ms, mfu 3.15%
iter 960: loss 0.8516, time 116.85ms, mfu 3.15%
iter 970: loss 0.8751, time 117.65ms, mfu 3.15%
iter 980: loss 0.8869, time 117.20ms, mfu 3.15%
iter 990: loss 0.8810, time 118.60ms, mfu 3.15%
step 1000: train loss 0.8382, val loss 0.8364
saving checkpoint to out-nd-accel
iter 1000: loss 0.8692, time 11775.95ms, mfu 2.84%
iter 1010: loss 0.8440, time 116.98ms, mfu 2.87%
iter 1020: loss 0.8743, time 119.06ms, mfu 2.90%
iter 1030: loss 0.8449, time 119.22ms, mfu 2.92%
iter 1040: loss 0.8428, time 118.72ms, mfu 2.94%
iter 1050: loss 0.8349, time 118.79ms, mfu 2.96%
iter 1060: loss 0.8173, time 117.43ms, mfu 2.98%
iter 1070: loss 0.8665, time 117.05ms, mfu 3.00%
iter 1080: loss 0.8646, time 117.46ms, mfu 3.02%
iter 1090: loss 0.8304, time 117.15ms, mfu 3.03%
iter 1100: loss 0.8679, time 117.52ms, mfu 3.05%
iter 1110: loss 0.8391, time 119.92ms, mfu 3.05%
iter 1120: loss 0.8470, time 118.14ms, mfu 3.06%
iter 1130: loss 0.8323, time 118.52ms, mfu 3.07%
iter 1140: loss 0.8422, time 118.29ms, mfu 3.08%
iter 1150: loss 0.8489, time 119.87ms, mfu 3.08%
iter 1160: loss 0.8173, time 117.59ms, mfu 3.09%
iter 1170: loss 0.8513, time 118.60ms, mfu 3.09%
iter 1180: loss 0.8017, time 119.20ms, mfu 3.10%
iter 1190: loss 0.8547, time 120.45ms, mfu 3.10%
iter 1200: loss 0.8389, time 118.04ms, mfu 3.10%
iter 1210: loss 0.8343, time 119.07ms, mfu 3.10%
iter 1220: loss 0.8345, time 118.37ms, mfu 3.11%
iter 1230: loss 0.8354, time 118.04ms, mfu 3.11%
iter 1240: loss 0.8318, time 118.50ms, mfu 3.12%
step 1250: train loss 0.7852, val loss 0.7858
saving checkpoint to out-nd-accel
iter 1250: loss 0.8195, time 11950.40ms, mfu 2.81%
iter 1260: loss 0.7862, time 118.13ms, mfu 2.84%
iter 1270: loss 0.7802, time 119.51ms, mfu 2.87%
iter 1280: loss 0.8145, time 118.32ms, mfu 2.90%
iter 1290: loss 0.8048, time 118.54ms, mfu 2.92%
iter 1300: loss 0.7988, time 117.84ms, mfu 2.94%
iter 1310: loss 0.7821, time 119.41ms, mfu 2.96%
iter 1320: loss 0.7729, time 117.19ms, mfu 2.98%
iter 1330: loss 0.7941, time 117.41ms, mfu 3.00%
iter 1340: loss 0.7827, time 119.30ms, mfu 3.01%
iter 1350: loss 0.7714, time 117.25ms, mfu 3.03%
iter 1360: loss 0.7959, time 119.87ms, mfu 3.04%
iter 1370: loss 0.7443, time 117.61ms, mfu 3.05%
iter 1380: loss 0.7232, time 117.01ms, mfu 3.06%
iter 1390: loss 0.7405, time 118.19ms, mfu 3.07%
iter 1400: loss 0.7204, time 117.16ms, mfu 3.08%
iter 1410: loss 0.7061, time 117.20ms, mfu 3.09%
iter 1420: loss 0.7044, time 118.84ms, mfu 3.09%
iter 1430: loss 0.6967, time 119.90ms, mfu 3.10%
iter 1440: loss 0.7310, time 119.01ms, mfu 3.10%
iter 1450: loss 0.7211, time 117.85ms, mfu 3.10%
iter 1460: loss 0.7141, time 118.08ms, mfu 3.11%
iter 1470: loss 0.7108, time 118.28ms, mfu 3.11%
iter 1480: loss 0.6892, time 118.44ms, mfu 3.12%
iter 1490: loss 0.7055, time 118.04ms, mfu 3.12%
step 1500: train loss 0.6386, val loss 0.6397
saving checkpoint to out-nd-accel
iter 1500: loss 0.6940, time 11758.40ms, mfu 2.81%
iter 1510: loss 0.6634, time 117.05ms, mfu 2.85%
iter 1520: loss 0.6734, time 117.75ms, mfu 2.88%
iter 1530: loss 0.6405, time 116.62ms, mfu 2.91%
iter 1540: loss 0.6731, time 116.97ms, mfu 2.94%
iter 1550: loss 0.6533, time 117.86ms, mfu 2.96%
iter 1560: loss 0.6222, time 117.36ms, mfu 2.98%
iter 1570: loss 0.6461, time 116.80ms, mfu 3.00%
iter 1580: loss 0.6680, time 117.95ms, mfu 3.02%
iter 1590: loss 0.6210, time 117.60ms, mfu 3.03%
iter 1600: loss 0.6204, time 117.04ms, mfu 3.05%
iter 1610: loss 0.6391, time 117.93ms, mfu 3.06%
iter 1620: loss 0.6252, time 116.48ms, mfu 3.07%
iter 1630: loss 0.6140, time 117.21ms, mfu 3.08%
iter 1640: loss 0.6244, time 117.62ms, mfu 3.09%
iter 1650: loss 0.6327, time 118.26ms, mfu 3.10%
iter 1660: loss 0.6318, time 116.96ms, mfu 3.10%
iter 1670: loss 0.5943, time 115.83ms, mfu 3.11%
iter 1680: loss 0.6172, time 114.74ms, mfu 3.13%
iter 1690: loss 0.6115, time 115.92ms, mfu 3.14%
iter 1700: loss 0.6218, time 117.01ms, mfu 3.14%
iter 1710: loss 0.6154, time 116.99ms, mfu 3.14%
iter 1720: loss 0.6227, time 118.22ms, mfu 3.14%
iter 1730: loss 0.6198, time 116.40ms, mfu 3.15%
iter 1740: loss 0.5985, time 118.55ms, mfu 3.15%
step 1750: train loss 0.5721, val loss 0.5725
saving checkpoint to out-nd-accel
iter 1750: loss 0.6021, time 11717.03ms, mfu 2.84%
iter 1760: loss 0.5966, time 117.22ms, mfu 2.87%
iter 1770: loss 0.6099, time 116.59ms, mfu 2.90%
iter 1780: loss 0.6019, time 118.30ms, mfu 2.93%
iter 1790: loss 0.6148, time 117.05ms, mfu 2.95%
iter 1800: loss 0.6081, time 116.26ms, mfu 2.98%
iter 1810: loss 0.6142, time 116.80ms, mfu 3.00%
iter 1820: loss 0.5873, time 117.32ms, mfu 3.02%
iter 1830: loss 0.5783, time 116.22ms, mfu 3.03%
iter 1840: loss 0.5978, time 118.00ms, mfu 3.05%
iter 1850: loss 0.6035, time 117.96ms, mfu 3.06%
iter 1860: loss 0.5883, time 118.03ms, mfu 3.07%
iter 1870: loss 0.5832, time 119.19ms, mfu 3.07%
iter 1880: loss 0.6103, time 116.94ms, mfu 3.08%
iter 1890: loss 0.5977, time 116.32ms, mfu 3.09%
iter 1900: loss 0.5924, time 118.16ms, mfu 3.10%
iter 1910: loss 0.5914, time 118.67ms, mfu 3.10%
iter 1920: loss 0.5831, time 116.91ms, mfu 3.11%
iter 1930: loss 0.5890, time 118.58ms, mfu 3.11%
iter 1940: loss 0.5987, time 117.58ms, mfu 3.12%
iter 1950: loss 0.5911, time 117.17ms, mfu 3.12%
iter 1960: loss 0.5872, time 118.01ms, mfu 3.13%
iter 1970: loss 0.5902, time 117.97ms, mfu 3.13%
iter 1980: loss 0.5719, time 116.37ms, mfu 3.14%
iter 1990: loss 0.5919, time 117.06ms, mfu 3.14%
step 2000: train loss 0.5602, val loss 0.5604
saving checkpoint to out-nd-accel
iter 2000: loss 0.5821, time 11883.16ms, mfu 2.83%
iter 2010: loss 0.5739, time 118.78ms, mfu 2.86%
iter 2020: loss 0.5653, time 117.83ms, mfu 2.89%
iter 2030: loss 0.5799, time 116.45ms, mfu 2.92%
iter 2040: loss 0.6056, time 117.73ms, mfu 2.94%
iter 2050: loss 0.5818, time 119.95ms, mfu 2.96%
iter 2060: loss 0.5892, time 118.17ms, mfu 2.98%
iter 2070: loss 0.5682, time 121.49ms, mfu 2.99%
iter 2080: loss 0.5844, time 119.89ms, mfu 3.00%
iter 2090: loss 0.5769, time 118.65ms, mfu 3.01%
iter 2100: loss 0.5859, time 117.39ms, mfu 3.03%
iter 2110: loss 0.5884, time 120.05ms, mfu 3.04%
iter 2120: loss 0.5668, time 120.59ms, mfu 3.04%
iter 2130: loss 0.5823, time 119.35ms, mfu 3.05%
iter 2140: loss 0.6052, time 118.45ms, mfu 3.06%
iter 2150: loss 0.5542, time 119.61ms, mfu 3.06%
iter 2160: loss 0.5636, time 117.03ms, mfu 3.07%
iter 2170: loss 0.5567, time 118.88ms, mfu 3.08%
iter 2180: loss 0.6025, time 119.08ms, mfu 3.08%
iter 2190: loss 0.5786, time 119.07ms, mfu 3.09%
iter 2200: loss 0.5660, time 118.06ms, mfu 3.10%
iter 2210: loss 0.5698, time 116.73ms, mfu 3.10%
iter 2220: loss 0.5418, time 118.31ms, mfu 3.11%
iter 2230: loss 0.5796, time 118.45ms, mfu 3.11%
iter 2240: loss 0.5776, time 119.86ms, mfu 3.11%
step 2250: train loss 0.5512, val loss 0.5495
saving checkpoint to out-nd-accel
iter 2250: loss 0.5812, time 11898.98ms, mfu 2.80%
iter 2260: loss 0.5903, time 118.81ms, mfu 2.84%
iter 2270: loss 0.5581, time 117.58ms, mfu 2.87%
iter 2280: loss 0.5612, time 119.88ms, mfu 2.89%
iter 2290: loss 0.5759, time 117.71ms, mfu 2.92%
iter 2300: loss 0.5587, time 119.26ms, mfu 2.94%
iter 2310: loss 0.5838, time 118.38ms, mfu 2.96%
iter 2320: loss 0.5687, time 119.33ms, mfu 2.98%
iter 2330: loss 0.5818, time 117.35ms, mfu 3.00%
iter 2340: loss 0.5553, time 117.29ms, mfu 3.01%
iter 2350: loss 0.5861, time 117.78ms, mfu 3.03%
iter 2360: loss 0.5865, time 117.31ms, mfu 3.04%
iter 2370: loss 0.5458, time 119.49ms, mfu 3.05%
iter 2380: loss 0.5471, time 117.48ms, mfu 3.06%
iter 2390: loss 0.5530, time 117.82ms, mfu 3.07%
iter 2400: loss 0.5781, time 119.65ms, mfu 3.07%
iter 2410: loss 0.5448, time 118.89ms, mfu 3.08%
iter 2420: loss 0.5988, time 118.92ms, mfu 3.09%
iter 2430: loss 0.5866, time 116.49ms, mfu 3.10%
iter 2440: loss 0.5747, time 120.18ms, mfu 3.10%
iter 2450: loss 0.5602, time 119.18ms, mfu 3.10%
iter 2460: loss 0.5545, time 118.31ms, mfu 3.10%
iter 2470: loss 0.5617, time 118.90ms, mfu 3.11%
iter 2480: loss 0.5632, time 117.84ms, mfu 3.11%
iter 2490: loss 0.5859, time 119.63ms, mfu 3.11%
step 2500: train loss 0.5479, val loss 0.5466
saving checkpoint to out-nd-accel
iter 2500: loss 0.5659, time 11952.47ms, mfu 2.80%
iter 2510: loss 0.5289, time 117.19ms, mfu 2.84%
iter 2520: loss 0.5483, time 118.87ms, mfu 2.87%
iter 2530: loss 0.5561, time 118.59ms, mfu 2.90%
iter 2540: loss 0.5731, time 118.12ms, mfu 2.92%
iter 2550: loss 0.5564, time 119.64ms, mfu 2.94%
iter 2560: loss 0.5778, time 117.43ms, mfu 2.96%
iter 2570: loss 0.5659, time 118.23ms, mfu 2.98%
iter 2580: loss 0.5722, time 118.28ms, mfu 3.00%
iter 2590: loss 0.5592, time 117.13ms, mfu 3.02%
iter 2600: loss 0.5612, time 117.68ms, mfu 3.03%
iter 2610: loss 0.5533, time 118.35ms, mfu 3.04%
iter 2620: loss 0.5459, time 118.63ms, mfu 3.05%
iter 2630: loss 0.5709, time 117.91ms, mfu 3.06%
iter 2640: loss 0.5591, time 118.32ms, mfu 3.07%
iter 2650: loss 0.5633, time 116.91ms, mfu 3.08%
iter 2660: loss 0.5559, time 119.09ms, mfu 3.09%
iter 2670: loss 0.5612, time 118.27ms, mfu 3.09%
iter 2680: loss 0.5601, time 117.66ms, mfu 3.10%
iter 2690: loss 0.5624, time 119.97ms, mfu 3.10%
iter 2700: loss 0.5522, time 119.20ms, mfu 3.10%
iter 2710: loss 0.5508, time 118.70ms, mfu 3.10%
iter 2720: loss 0.5678, time 120.08ms, mfu 3.10%
iter 2730: loss 0.5598, time 117.84ms, mfu 3.11%
iter 2740: loss 0.5539, time 118.90ms, mfu 3.11%
step 2750: train loss 0.5421, val loss 0.5435
saving checkpoint to out-nd-accel
iter 2750: loss 0.5356, time 11897.76ms, mfu 2.80%
iter 2760: loss 0.5476, time 117.24ms, mfu 2.84%
iter 2770: loss 0.5706, time 118.26ms, mfu 2.87%
iter 2780: loss 0.5743, time 118.01ms, mfu 2.90%
iter 2790: loss 0.5596, time 119.45ms, mfu 2.92%
iter 2800: loss 0.5498, time 117.30ms, mfu 2.95%
iter 2810: loss 0.5408, time 117.70ms, mfu 2.97%
iter 2820: loss 0.5471, time 118.86ms, mfu 2.98%
iter 2830: loss 0.5654, time 118.05ms, mfu 3.00%
iter 2840: loss 0.5497, time 118.79ms, mfu 3.01%
iter 2850: loss 0.5616, time 120.65ms, mfu 3.02%
iter 2860: loss 0.5482, time 118.38ms, mfu 3.03%
iter 2870: loss 0.5525, time 119.18ms, mfu 3.04%
iter 2880: loss 0.5624, time 118.97ms, mfu 3.05%
iter 2890: loss 0.5300, time 117.96ms, mfu 3.06%
iter 2900: loss 0.5628, time 116.60ms, mfu 3.07%
iter 2910: loss 0.5483, time 117.82ms, mfu 3.08%
iter 2920: loss 0.5570, time 118.13ms, mfu 3.09%
iter 2930: loss 0.5766, time 117.85ms, mfu 3.10%
iter 2940: loss 0.5794, time 117.56ms, mfu 3.10%
iter 2950: loss 0.5524, time 118.43ms, mfu 3.11%
iter 2960: loss 0.5423, time 118.17ms, mfu 3.11%
iter 2970: loss 0.5543, time 118.46ms, mfu 3.11%
iter 2980: loss 0.5659, time 118.06ms, mfu 3.12%
iter 2990: loss 0.5567, time 118.46ms, mfu 3.12%
step 3000: train loss 0.5402, val loss 0.5397
saving checkpoint to out-nd-accel
iter 3000: loss 0.5544, time 11897.97ms, mfu 2.81%
iter 3010: loss 0.5619, time 117.95ms, mfu 2.85%
iter 3020: loss 0.5513, time 117.52ms, mfu 2.88%
iter 3030: loss 0.5683, time 117.09ms, mfu 2.91%
iter 3040: loss 0.5520, time 119.07ms, mfu 2.93%
iter 3050: loss 0.5629, time 117.95ms, mfu 2.95%
iter 3060: loss 0.5509, time 117.69ms, mfu 2.97%
iter 3070: loss 0.5819, time 117.36ms, mfu 2.99%
iter 3080: loss 0.5511, time 119.40ms, mfu 3.01%
iter 3090: loss 0.5434, time 117.86ms, mfu 3.02%
iter 3100: loss 0.5731, time 120.25ms, mfu 3.03%
iter 3110: loss 0.5463, time 119.08ms, mfu 3.04%
iter 3120: loss 0.5443, time 117.36ms, mfu 3.05%
iter 3130: loss 0.5616, time 118.37ms, mfu 3.06%
iter 3140: loss 0.5509, time 120.01ms, mfu 3.06%
iter 3150: loss 0.5449, time 118.86ms, mfu 3.07%
iter 3160: loss 0.5683, time 117.70ms, mfu 3.08%
iter 3170: loss 0.5541, time 118.05ms, mfu 3.09%
iter 3180: loss 0.5499, time 117.52ms, mfu 3.10%
iter 3190: loss 0.5483, time 119.19ms, mfu 3.10%
iter 3200: loss 0.5509, time 118.58ms, mfu 3.10%
iter 3210: loss 0.5461, time 117.69ms, mfu 3.11%
iter 3220: loss 0.5238, time 119.44ms, mfu 3.11%
iter 3230: loss 0.5507, time 118.05ms, mfu 3.11%
iter 3240: loss 0.5444, time 118.02ms, mfu 3.12%
step 3250: train loss 0.5350, val loss 0.5361
saving checkpoint to out-nd-accel
iter 3250: loss 0.5639, time 11865.23ms, mfu 2.81%
iter 3260: loss 0.5524, time 118.37ms, mfu 2.84%
iter 3270: loss 0.5539, time 117.39ms, mfu 2.87%
iter 3280: loss 0.5591, time 117.84ms, mfu 2.90%
iter 3290: loss 0.5498, time 119.24ms, mfu 2.92%
iter 3300: loss 0.5504, time 117.74ms, mfu 2.95%
iter 3310: loss 0.5537, time 119.06ms, mfu 2.97%
iter 3320: loss 0.5476, time 118.66ms, mfu 2.98%
iter 3330: loss 0.5388, time 119.18ms, mfu 3.00%
iter 3340: loss 0.5575, time 117.53ms, mfu 3.01%
iter 3350: loss 0.5491, time 119.16ms, mfu 3.02%
iter 3360: loss 0.5394, time 119.19ms, mfu 3.03%
iter 3370: loss 0.5453, time 118.04ms, mfu 3.05%
iter 3380: loss 0.5463, time 117.00ms, mfu 3.06%
iter 3390: loss 0.5462, time 117.85ms, mfu 3.07%
iter 3400: loss 0.5583, time 118.00ms, mfu 3.08%
iter 3410: loss 0.5708, time 118.66ms, mfu 3.08%
iter 3420: loss 0.5403, time 117.59ms, mfu 3.09%
iter 3430: loss 0.5523, time 117.88ms, mfu 3.10%
iter 3440: loss 0.5381, time 117.49ms, mfu 3.11%
iter 3450: loss 0.5441, time 117.65ms, mfu 3.11%
iter 3460: loss 0.5388, time 119.77ms, mfu 3.11%
iter 3470: loss 0.5451, time 117.62ms, mfu 3.12%
iter 3480: loss 0.5338, time 118.53ms, mfu 3.12%
iter 3490: loss 0.5529, time 118.23ms, mfu 3.12%
step 3500: train loss 0.5336, val loss 0.5342
saving checkpoint to out-nd-accel
iter 3500: loss 0.5641, time 11863.66ms, mfu 2.81%
iter 3510: loss 0.5412, time 118.47ms, mfu 2.85%
iter 3520: loss 0.5518, time 116.70ms, mfu 2.88%
iter 3530: loss 0.5372, time 116.24ms, mfu 2.91%
iter 3540: loss 0.5250, time 118.74ms, mfu 2.93%
iter 3550: loss 0.5564, time 118.41ms, mfu 2.95%
iter 3560: loss 0.5369, time 119.12ms, mfu 2.97%
iter 3570: loss 0.5299, time 118.86ms, mfu 2.99%
iter 3580: loss 0.5536, time 118.51ms, mfu 3.00%
iter 3590: loss 0.5379, time 118.05ms, mfu 3.02%
iter 3600: loss 0.5456, time 118.63ms, mfu 3.03%
iter 3610: loss 0.5482, time 118.89ms, mfu 3.04%
iter 3620: loss 0.5669, time 119.24ms, mfu 3.05%
iter 3630: loss 0.5360, time 117.69ms, mfu 3.06%
iter 3640: loss 0.5482, time 118.30ms, mfu 3.07%
iter 3650: loss 0.5399, time 118.62ms, mfu 3.07%
iter 3660: loss 0.5391, time 118.05ms, mfu 3.08%
iter 3670: loss 0.5416, time 117.43ms, mfu 3.09%
iter 3680: loss 0.5178, time 118.11ms, mfu 3.10%
iter 3690: loss 0.5431, time 118.01ms, mfu 3.10%
iter 3700: loss 0.5340, time 118.95ms, mfu 3.11%
iter 3710: loss 0.5151, time 118.30ms, mfu 3.11%
iter 3720: loss 0.5439, time 116.95ms, mfu 3.12%
iter 3730: loss 0.5404, time 117.40ms, mfu 3.12%
iter 3740: loss 0.5379, time 118.32ms, mfu 3.12%
step 3750: train loss 0.5322, val loss 0.5329
saving checkpoint to out-nd-accel
iter 3750: loss 0.5244, time 11854.56ms, mfu 2.81%
iter 3760: loss 0.5421, time 117.32ms, mfu 2.85%
iter 3770: loss 0.5284, time 119.01ms, mfu 2.88%
iter 3780: loss 0.5367, time 118.22ms, mfu 2.91%
iter 3790: loss 0.5510, time 119.18ms, mfu 2.93%
iter 3800: loss 0.5419, time 117.52ms, mfu 2.95%
iter 3810: loss 0.5552, time 116.57ms, mfu 2.97%
iter 3820: loss 0.5397, time 120.59ms, mfu 2.99%
iter 3830: loss 0.5629, time 117.67ms, mfu 3.00%
iter 3840: loss 0.5637, time 117.17ms, mfu 3.02%
iter 3850: loss 0.5434, time 117.05ms, mfu 3.04%
iter 3860: loss 0.5435, time 117.07ms, mfu 3.05%
iter 3870: loss 0.5425, time 117.80ms, mfu 3.06%
iter 3880: loss 0.5477, time 118.92ms, mfu 3.07%
iter 3890: loss 0.5214, time 117.29ms, mfu 3.08%
iter 3900: loss 0.5244, time 118.34ms, mfu 3.09%
iter 3910: loss 0.5640, time 118.78ms, mfu 3.09%
iter 3920: loss 0.5412, time 118.52ms, mfu 3.10%
iter 3930: loss 0.5397, time 118.74ms, mfu 3.10%
iter 3940: loss 0.5450, time 118.67ms, mfu 3.10%
iter 3950: loss 0.5220, time 117.99ms, mfu 3.11%
iter 3960: loss 0.5393, time 119.43ms, mfu 3.11%
iter 3970: loss 0.5465, time 117.24ms, mfu 3.12%
iter 3980: loss 0.5469, time 117.44ms, mfu 3.12%
iter 3990: loss 0.5372, time 118.68ms, mfu 3.12%
step 4000: train loss 0.5304, val loss 0.5308
saving checkpoint to out-nd-accel
iter 4000: loss 0.5444, time 11853.06ms, mfu 2.81%
iter 4010: loss 0.5185, time 117.42ms, mfu 2.85%
iter 4020: loss 0.5334, time 119.93ms, mfu 2.87%
iter 4030: loss 0.5386, time 117.26ms, mfu 2.90%
iter 4040: loss 0.5307, time 119.76ms, mfu 2.92%
iter 4050: loss 0.5465, time 118.60ms, mfu 2.95%
iter 4060: loss 0.5714, time 117.32ms, mfu 2.97%
iter 4070: loss 0.5303, time 118.32ms, mfu 2.99%
iter 4080: loss 0.5378, time 117.45ms, mfu 3.00%
iter 4090: loss 0.5233, time 116.78ms, mfu 3.02%
iter 4100: loss 0.5725, time 118.70ms, mfu 3.03%
iter 4110: loss 0.5365, time 116.80ms, mfu 3.05%
iter 4120: loss 0.5359, time 117.72ms, mfu 3.06%
iter 4130: loss 0.5435, time 118.78ms, mfu 3.07%
iter 4140: loss 0.5342, time 117.67ms, mfu 3.08%
