
step 0: train loss 4.2874, val loss 4.2823
step 250: train loss 1.9617, val loss 2.0626
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0269, time 14101.03ms, mfu 3.02%
iter 260: loss 1.9739, time 112.04ms, mfu 3.05%
iter 270: loss 1.9756, time 112.06ms, mfu 3.08%
iter 280: loss 1.9810, time 111.91ms, mfu 3.10%
iter 290: loss 1.9211, time 111.45ms, mfu 3.13%
iter 300: loss 1.9047, time 111.65ms, mfu 3.15%
iter 310: loss 1.8702, time 110.84ms, mfu 3.17%
iter 320: loss 1.8554, time 114.01ms, mfu 3.18%
iter 330: loss 1.8166, time 111.52ms, mfu 3.20%
iter 340: loss 1.7835, time 112.26ms, mfu 3.21%
iter 350: loss 1.8240, time 111.95ms, mfu 3.22%
iter 360: loss 1.7727, time 112.81ms, mfu 3.23%
iter 370: loss 1.7427, time 111.52ms, mfu 3.24%
iter 380: loss 1.7297, time 113.80ms, mfu 3.24%
iter 390: loss 1.7358, time 112.46ms, mfu 3.25%
iter 400: loss 1.7634, time 113.70ms, mfu 3.25%
iter 410: loss 1.6962, time 112.95ms, mfu 3.26%
iter 420: loss 1.7066, time 113.76ms, mfu 3.26%
iter 430: loss 1.6841, time 113.13ms, mfu 3.26%
iter 440: loss 1.6463, time 112.24ms, mfu 3.27%
iter 450: loss 1.6518, time 114.59ms, mfu 3.27%
iter 460: loss 1.5964, time 114.78ms, mfu 3.26%
iter 470: loss 1.6596, time 115.01ms, mfu 3.26%
iter 480: loss 1.6250, time 113.48ms, mfu 3.26%
iter 490: loss 1.6047, time 113.89ms, mfu 3.27%
step 500: train loss 1.5320, val loss 1.7376
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6036, time 11442.02ms, mfu 2.94%
iter 510: loss 1.6118, time 113.44ms, mfu 2.98%
iter 520: loss 1.5995, time 114.29ms, mfu 3.00%
iter 530: loss 1.5608, time 113.94ms, mfu 3.03%
iter 540: loss 1.6197, time 116.03ms, mfu 3.05%
iter 550: loss 1.5665, time 113.69ms, mfu 3.07%
iter 560: loss 1.5724, time 115.11ms, mfu 3.09%
iter 570: loss 1.5784, time 113.40ms, mfu 3.11%
iter 580: loss 1.5392, time 115.41ms, mfu 3.12%
iter 590: loss 1.5042, time 115.55ms, mfu 3.13%
iter 600: loss 1.5235, time 115.85ms, mfu 3.14%
iter 610: loss 1.5488, time 115.65ms, mfu 3.15%
iter 620: loss 1.5305, time 116.81ms, mfu 3.15%
iter 630: loss 1.5144, time 116.58ms, mfu 3.16%
iter 640: loss 1.4758, time 114.38ms, mfu 3.17%
iter 650: loss 1.5089, time 116.36ms, mfu 3.17%
iter 660: loss 1.5117, time 115.66ms, mfu 3.18%
iter 670: loss 1.4419, time 115.34ms, mfu 3.18%
iter 680: loss 1.5172, time 114.95ms, mfu 3.19%
iter 690: loss 1.4691, time 117.18ms, mfu 3.19%
iter 700: loss 1.4832, time 115.80ms, mfu 3.19%
iter 710: loss 1.4598, time 115.03ms, mfu 3.19%
iter 720: loss 1.4497, time 116.09ms, mfu 3.20%
iter 730: loss 1.4210, time 114.86ms, mfu 3.20%
iter 740: loss 1.4289, time 117.11ms, mfu 3.20%
step 750: train loss 1.3649, val loss 1.5938
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4318, time 11727.39ms, mfu 2.88%
iter 760: loss 1.4451, time 118.28ms, mfu 2.91%
iter 770: loss 1.4361, time 117.73ms, mfu 2.93%
iter 780: loss 1.4205, time 117.10ms, mfu 2.96%
iter 790: loss 1.4194, time 115.01ms, mfu 2.99%
iter 800: loss 1.4317, time 118.64ms, mfu 3.00%
iter 810: loss 1.4077, time 115.91ms, mfu 3.02%
iter 820: loss 1.4145, time 117.51ms, mfu 3.04%
iter 830: loss 1.3942, time 118.19ms, mfu 3.05%
iter 840: loss 1.4187, time 118.84ms, mfu 3.06%
iter 850: loss 1.3976, time 116.72ms, mfu 3.07%
iter 860: loss 1.3955, time 116.98ms, mfu 3.08%
iter 870: loss 1.4028, time 117.81ms, mfu 3.09%
iter 880: loss 1.3720, time 118.85ms, mfu 3.10%
iter 890: loss 1.3934, time 117.54ms, mfu 3.10%
iter 900: loss 1.3732, time 117.92ms, mfu 3.11%
iter 910: loss 1.3249, time 117.48ms, mfu 3.12%
iter 920: loss 1.3641, time 117.50ms, mfu 3.12%
iter 930: loss 1.3632, time 118.16ms, mfu 3.12%
iter 940: loss 1.3463, time 117.57ms, mfu 3.13%
iter 950: loss 1.3571, time 117.09ms, mfu 3.13%
iter 960: loss 1.3658, time 117.39ms, mfu 3.14%
iter 970: loss 1.3642, time 118.60ms, mfu 3.14%
iter 980: loss 1.3620, time 117.38ms, mfu 3.14%
iter 990: loss 1.3408, time 118.16ms, mfu 3.14%
step 1000: train loss 1.2747, val loss 1.5291
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3380, time 11908.71ms, mfu 2.83%
iter 1010: loss 1.3440, time 118.92ms, mfu 2.86%
iter 1020: loss 1.3147, time 118.52ms, mfu 2.89%
iter 1030: loss 1.3429, time 117.50ms, mfu 2.92%
iter 1040: loss 1.3572, time 118.69ms, mfu 2.94%
iter 1050: loss 1.2933, time 119.12ms, mfu 2.96%
iter 1060: loss 1.3498, time 118.20ms, mfu 2.98%
iter 1070: loss 1.3338, time 118.13ms, mfu 3.00%
iter 1080: loss 1.3394, time 117.97ms, mfu 3.01%
iter 1090: loss 1.3523, time 118.72ms, mfu 3.03%
iter 1100: loss 1.3170, time 117.46ms, mfu 3.04%
iter 1110: loss 1.3003, time 119.34ms, mfu 3.05%
iter 1120: loss 1.3106, time 120.23ms, mfu 3.05%
iter 1130: loss 1.3056, time 119.51ms, mfu 3.06%
iter 1140: loss 1.3111, time 117.30ms, mfu 3.07%
iter 1150: loss 1.3145, time 118.93ms, mfu 3.08%
iter 1160: loss 1.3264, time 121.27ms, mfu 3.08%
iter 1170: loss 1.3033, time 117.77ms, mfu 3.09%
iter 1180: loss 1.3207, time 118.38ms, mfu 3.09%
iter 1190: loss 1.2758, time 121.15ms, mfu 3.09%
iter 1200: loss 1.2979, time 120.06ms, mfu 3.09%
iter 1210: loss 1.2748, time 120.10ms, mfu 3.09%
iter 1220: loss 1.3085, time 120.10ms, mfu 3.09%
iter 1230: loss 1.2953, time 121.04ms, mfu 3.09%
iter 1240: loss 1.3011, time 119.20ms, mfu 3.10%
step 1250: train loss 1.2096, val loss 1.5029
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2764, time 11929.43ms, mfu 2.79%
iter 1260: loss 1.2909, time 120.39ms, mfu 2.82%
iter 1270: loss 1.2677, time 121.70ms, mfu 2.84%
iter 1280: loss 1.2635, time 118.97ms, mfu 2.87%
iter 1290: loss 1.2902, time 119.04ms, mfu 2.90%
iter 1300: loss 1.3066, time 119.42ms, mfu 2.92%
iter 1310: loss 1.2388, time 118.59ms, mfu 2.94%
iter 1320: loss 1.3099, time 122.07ms, mfu 2.95%
iter 1330: loss 1.2699, time 121.88ms, mfu 2.96%
iter 1340: loss 1.2982, time 121.31ms, mfu 2.97%
iter 1350: loss 1.2562, time 120.26ms, mfu 2.99%
iter 1360: loss 1.2774, time 120.80ms, mfu 3.00%
iter 1370: loss 1.2605, time 118.34ms, mfu 3.01%
iter 1380: loss 1.2713, time 120.05ms, mfu 3.02%
iter 1390: loss 1.2582, time 119.47ms, mfu 3.03%
iter 1400: loss 1.2624, time 122.09ms, mfu 3.03%
iter 1410: loss 1.2539, time 120.90ms, mfu 3.04%
iter 1420: loss 1.2748, time 119.72ms, mfu 3.05%
iter 1430: loss 1.2462, time 119.48ms, mfu 3.05%
iter 1440: loss 1.2658, time 120.81ms, mfu 3.06%
iter 1450: loss 1.2326, time 121.80ms, mfu 3.06%
iter 1460: loss 1.2493, time 120.78ms, mfu 3.06%
iter 1470: loss 1.2229, time 120.07ms, mfu 3.06%
iter 1480: loss 1.2154, time 121.20ms, mfu 3.06%
iter 1490: loss 1.2435, time 120.56ms, mfu 3.07%
step 1500: train loss 1.1570, val loss 1.4835
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1941, time 11973.64ms, mfu 2.76%
iter 1510: loss 1.2462, time 118.72ms, mfu 2.80%
iter 1520: loss 1.2291, time 117.92ms, mfu 2.84%
iter 1530: loss 1.2550, time 118.71ms, mfu 2.87%
iter 1540: loss 1.1968, time 119.31ms, mfu 2.89%
iter 1550: loss 1.2333, time 119.03ms, mfu 2.92%
iter 1560: loss 1.2110, time 119.21ms, mfu 2.94%
iter 1570: loss 1.2332, time 117.77ms, mfu 2.96%
iter 1580: loss 1.2087, time 119.36ms, mfu 2.98%
iter 1590: loss 1.1950, time 118.29ms, mfu 2.99%
iter 1600: loss 1.2010, time 119.88ms, mfu 3.01%
iter 1610: loss 1.2358, time 118.67ms, mfu 3.02%
iter 1620: loss 1.1864, time 118.36ms, mfu 3.03%
iter 1630: loss 1.2088, time 118.83ms, mfu 3.04%
iter 1640: loss 1.2106, time 118.12ms, mfu 3.05%
iter 1650: loss 1.1869, time 117.45ms, mfu 3.07%
iter 1660: loss 1.2190, time 118.51ms, mfu 3.07%
iter 1670: loss 1.2000, time 117.44ms, mfu 3.08%
iter 1680: loss 1.2054, time 118.74ms, mfu 3.09%
iter 1690: loss 1.2070, time 119.57ms, mfu 3.09%
iter 1700: loss 1.1919, time 117.52ms, mfu 3.10%
iter 1710: loss 1.1856, time 118.02ms, mfu 3.11%
iter 1720: loss 1.1817, time 118.54ms, mfu 3.11%
iter 1730: loss 1.2041, time 118.29ms, mfu 3.11%
iter 1740: loss 1.1745, time 118.91ms, mfu 3.12%
step 1750: train loss 1.1043, val loss 1.4646
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1854, time 11844.26ms, mfu 2.81%
iter 1760: loss 1.1959, time 118.27ms, mfu 2.84%
iter 1770: loss 1.2047, time 117.44ms, mfu 2.87%
iter 1780: loss 1.1986, time 118.72ms, mfu 2.90%
iter 1790: loss 1.1942, time 117.55ms, mfu 2.93%
iter 1800: loss 1.1834, time 118.22ms, mfu 2.95%
iter 1810: loss 1.1633, time 118.94ms, mfu 2.97%
iter 1820: loss 1.1692, time 120.04ms, mfu 2.98%
iter 1830: loss 1.1819, time 117.84ms, mfu 3.00%
iter 1840: loss 1.1637, time 117.33ms, mfu 3.02%
iter 1850: loss 1.1658, time 120.20ms, mfu 3.03%
iter 1860: loss 1.1779, time 119.87ms, mfu 3.03%
iter 1870: loss 1.1432, time 117.89ms, mfu 3.05%
iter 1880: loss 1.1848, time 118.74ms, mfu 3.06%
iter 1890: loss 1.1845, time 117.41ms, mfu 3.07%
iter 1900: loss 1.1346, time 117.55ms, mfu 3.08%
iter 1910: loss 1.1722, time 119.11ms, mfu 3.08%
iter 1920: loss 1.1768, time 117.89ms, mfu 3.09%
iter 1930: loss 1.1476, time 119.21ms, mfu 3.09%
iter 1940: loss 1.1301, time 117.53ms, mfu 3.10%
iter 1950: loss 1.1465, time 118.53ms, mfu 3.11%
iter 1960: loss 1.1619, time 118.05ms, mfu 3.11%
iter 1970: loss 1.1610, time 117.78ms, mfu 3.12%
iter 1980: loss 1.1534, time 119.37ms, mfu 3.12%
iter 1990: loss 1.1566, time 119.87ms, mfu 3.12%
step 2000: train loss 1.0597, val loss 1.4743
iter 2000: loss 1.1444, time 11532.39ms, mfu 2.81%
iter 2010: loss 1.1310, time 121.03ms, mfu 2.83%
iter 2020: loss 1.1253, time 118.40ms, mfu 2.87%
iter 2030: loss 1.1565, time 118.00ms, mfu 2.90%
iter 2040: loss 1.1401, time 118.78ms, mfu 2.92%
iter 2050: loss 1.1237, time 118.13ms, mfu 2.94%
iter 2060: loss 1.1076, time 117.61ms, mfu 2.97%
iter 2070: loss 1.1312, time 119.93ms, mfu 2.98%
iter 2080: loss 1.1247, time 117.27ms, mfu 3.00%
iter 2090: loss 1.1367, time 117.13ms, mfu 3.02%
iter 2100: loss 1.1421, time 117.67ms, mfu 3.03%
iter 2110: loss 1.1376, time 118.02ms, mfu 3.04%
iter 2120: loss 1.1276, time 117.71ms, mfu 3.06%
iter 2130: loss 1.1409, time 119.95ms, mfu 3.06%
iter 2140: loss 1.1410, time 117.60ms, mfu 3.07%
iter 2150: loss 1.1270, time 118.32ms, mfu 3.08%
iter 2160: loss 1.1524, time 117.56ms, mfu 3.09%
iter 2170: loss 1.1346, time 117.90ms, mfu 3.10%
iter 2180: loss 1.1142, time 115.81ms, mfu 3.11%
iter 2190: loss 1.1101, time 117.92ms, mfu 3.11%
iter 2200: loss 1.1214, time 118.72ms, mfu 3.12%
iter 2210: loss 1.1200, time 116.98ms, mfu 3.12%
iter 2220: loss 1.1166, time 119.37ms, mfu 3.12%
iter 2230: loss 1.1292, time 117.51ms, mfu 3.13%
iter 2240: loss 1.1279, time 118.76ms, mfu 3.13%
step 2250: train loss 1.0139, val loss 1.4880
iter 2250: loss 1.1119, time 11530.82ms, mfu 2.82%
iter 2260: loss 1.1061, time 117.72ms, mfu 2.85%
iter 2270: loss 1.1379, time 117.55ms, mfu 2.89%
iter 2280: loss 1.1058, time 119.10ms, mfu 2.91%
iter 2290: loss 1.1526, time 117.81ms, mfu 2.93%
iter 2300: loss 1.1258, time 117.94ms, mfu 2.96%
iter 2310: loss 1.0962, time 118.58ms, mfu 2.98%
iter 2320: loss 1.1032, time 118.38ms, mfu 2.99%
iter 2330: loss 1.0978, time 118.62ms, mfu 3.01%
iter 2340: loss 1.1211, time 118.21ms, mfu 3.02%
iter 2350: loss 1.1095, time 119.35ms, mfu 3.03%
iter 2360: loss 1.1095, time 117.93ms, mfu 3.05%
iter 2370: loss 1.0946, time 119.60ms, mfu 3.05%
iter 2380: loss 1.0946, time 119.25ms, mfu 3.06%
iter 2390: loss 1.0835, time 118.49ms, mfu 3.07%
iter 2400: loss 1.0815, time 119.13ms, mfu 3.07%
iter 2410: loss 1.0765, time 121.47ms, mfu 3.07%
iter 2420: loss 1.0773, time 117.92ms, mfu 3.08%
iter 2430: loss 1.0573, time 117.31ms, mfu 3.09%
iter 2440: loss 1.0581, time 117.09ms, mfu 3.10%
iter 2450: loss 1.0757, time 117.15ms, mfu 3.11%
iter 2460: loss 1.0864, time 118.75ms, mfu 3.11%
iter 2470: loss 1.0990, time 118.33ms, mfu 3.12%
iter 2480: loss 1.0786, time 117.75ms, mfu 3.12%
iter 2490: loss 1.0594, time 116.41ms, mfu 3.13%
step 2500: train loss 0.9635, val loss 1.4973
iter 2500: loss 1.0878, time 11531.38ms, mfu 2.82%
iter 2510: loss 1.0775, time 117.75ms, mfu 2.85%
iter 2520: loss 1.0508, time 118.08ms, mfu 2.88%
iter 2530: loss 1.0606, time 117.15ms, mfu 2.91%
iter 2540: loss 1.0602, time 118.92ms, mfu 2.94%
iter 2550: loss 1.0749, time 118.17ms, mfu 2.96%
iter 2560: loss 1.0625, time 116.87ms, mfu 2.98%
iter 2570: loss 1.0872, time 119.07ms, mfu 3.00%
iter 2580: loss 1.0862, time 118.20ms, mfu 3.01%
iter 2590: loss 1.0699, time 116.92ms, mfu 3.03%
iter 2600: loss 1.0722, time 117.79ms, mfu 3.04%
iter 2610: loss 1.0553, time 117.97ms, mfu 3.05%
iter 2620: loss 1.0443, time 117.46ms, mfu 3.07%
iter 2630: loss 1.0321, time 117.90ms, mfu 3.07%
iter 2640: loss 1.0454, time 116.90ms, mfu 3.09%
iter 2650: loss 1.0755, time 117.51ms, mfu 3.09%
iter 2660: loss 1.0463, time 117.57ms, mfu 3.10%
iter 2670: loss 1.0276, time 117.56ms, mfu 3.11%
iter 2680: loss 1.0546, time 118.25ms, mfu 3.11%
iter 2690: loss 1.0552, time 117.34ms, mfu 3.12%
iter 2700: loss 1.0228, time 118.99ms, mfu 3.12%
iter 2710: loss 1.0503, time 119.24ms, mfu 3.12%
iter 2720: loss 1.0514, time 119.39ms, mfu 3.12%
iter 2730: loss 1.0606, time 117.77ms, mfu 3.13%
iter 2740: loss 1.0288, time 118.11ms, mfu 3.13%
step 2750: train loss 0.9179, val loss 1.5218
iter 2750: loss 1.0439, time 11525.49ms, mfu 2.82%
iter 2760: loss 1.0272, time 118.48ms, mfu 2.85%
iter 2770: loss 1.0286, time 118.09ms, mfu 2.88%
iter 2780: loss 1.0355, time 118.09ms, mfu 2.91%
iter 2790: loss 1.0423, time 117.26ms, mfu 2.94%
iter 2800: loss 1.0247, time 118.04ms, mfu 2.96%
iter 2810: loss 1.0503, time 119.19ms, mfu 2.97%
iter 2820: loss 1.0292, time 118.16ms, mfu 2.99%
iter 2830: loss 1.0334, time 118.06ms, mfu 3.01%
iter 2840: loss 1.0019, time 118.33ms, mfu 3.02%
iter 2850: loss 1.0364, time 118.94ms, mfu 3.03%
iter 2860: loss 1.0303, time 118.98ms, mfu 3.04%
iter 2870: loss 1.0103, time 118.40ms, mfu 3.05%
iter 2880: loss 1.0398, time 119.96ms, mfu 3.06%
iter 2890: loss 1.0086, time 118.14ms, mfu 3.07%
iter 2900: loss 1.0026, time 117.87ms, mfu 3.08%
iter 2910: loss 1.0394, time 119.61ms, mfu 3.08%
iter 2920: loss 1.0133, time 117.73ms, mfu 3.09%
iter 2930: loss 0.9953, time 118.51ms, mfu 3.10%
iter 2940: loss 0.9996, time 117.42ms, mfu 3.10%
iter 2950: loss 1.0325, time 116.73ms, mfu 3.11%
iter 2960: loss 1.0094, time 117.86ms, mfu 3.12%
iter 2970: loss 0.9990, time 118.30ms, mfu 3.12%
iter 2980: loss 0.9993, time 118.21ms, mfu 3.12%
iter 2990: loss 0.9904, time 117.53ms, mfu 3.13%
step 3000: train loss 0.8726, val loss 1.5215
iter 3000: loss 0.9893, time 11517.75ms, mfu 2.82%
iter 3010: loss 1.0015, time 117.72ms, mfu 2.85%
iter 3020: loss 1.0050, time 118.51ms, mfu 2.88%
iter 3030: loss 1.0047, time 118.59ms, mfu 2.91%
iter 3040: loss 1.0318, time 117.72ms, mfu 2.93%
iter 3050: loss 0.9819, time 118.17ms, mfu 2.96%
iter 3060: loss 1.0043, time 117.69ms, mfu 2.98%
iter 3070: loss 1.0205, time 119.37ms, mfu 2.99%
iter 3080: loss 1.0017, time 118.03ms, mfu 3.01%
iter 3090: loss 0.9822, time 117.83ms, mfu 3.02%
iter 3100: loss 1.0025, time 121.04ms, mfu 3.03%
iter 3110: loss 0.9765, time 118.05ms, mfu 3.04%
iter 3120: loss 1.0044, time 116.65ms, mfu 3.06%
iter 3130: loss 0.9760, time 117.59ms, mfu 3.07%
iter 3140: loss 0.9897, time 117.61ms, mfu 3.08%
iter 3150: loss 1.0045, time 118.16ms, mfu 3.09%
iter 3160: loss 1.0181, time 118.04ms, mfu 3.09%
iter 3170: loss 0.9678, time 117.88ms, mfu 3.10%
iter 3180: loss 0.9846, time 117.63ms, mfu 3.11%
iter 3190: loss 0.9978, time 118.01ms, mfu 3.11%
iter 3200: loss 0.9710, time 118.62ms, mfu 3.11%
iter 3210: loss 0.9771, time 117.79ms, mfu 3.12%
iter 3220: loss 0.9637, time 118.85ms, mfu 3.12%
iter 3230: loss 0.9543, time 118.21ms, mfu 3.12%
iter 3240: loss 0.9639, time 119.06ms, mfu 3.12%
step 3250: train loss 0.8288, val loss 1.5598
iter 3250: loss 0.9761, time 11531.19ms, mfu 2.82%
iter 3260: loss 0.9685, time 118.10ms, mfu 2.85%
iter 3270: loss 0.9894, time 119.44ms, mfu 2.88%
iter 3280: loss 0.9475, time 118.66ms, mfu 2.90%
iter 3290: loss 0.9476, time 117.62ms, mfu 2.93%
iter 3300: loss 0.9436, time 118.14ms, mfu 2.95%
iter 3310: loss 0.9628, time 117.25ms, mfu 2.97%
iter 3320: loss 0.9746, time 117.65ms, mfu 2.99%
iter 3330: loss 0.9678, time 118.10ms, mfu 3.01%
iter 3340: loss 0.9647, time 118.99ms, mfu 3.02%
iter 3350: loss 0.9652, time 118.39ms, mfu 3.03%
iter 3360: loss 0.9315, time 118.48ms, mfu 3.05%
iter 3370: loss 0.9672, time 118.32ms, mfu 3.06%
iter 3380: loss 0.9502, time 118.09ms, mfu 3.07%
iter 3390: loss 0.9564, time 117.63ms, mfu 3.08%
iter 3400: loss 0.9584, time 117.15ms, mfu 3.09%
iter 3410: loss 0.9542, time 118.03ms, mfu 3.09%
iter 3420: loss 0.9524, time 119.74ms, mfu 3.10%
iter 3430: loss 0.9506, time 117.99ms, mfu 3.10%
iter 3440: loss 0.9726, time 119.73ms, mfu 3.10%
iter 3450: loss 0.9584, time 117.22ms, mfu 3.11%
iter 3460: loss 0.9528, time 117.57ms, mfu 3.12%
iter 3470: loss 0.9431, time 118.52ms, mfu 3.12%
iter 3480: loss 0.9579, time 117.22ms, mfu 3.13%
iter 3490: loss 0.9185, time 117.36ms, mfu 3.13%
step 3500: train loss 0.7841, val loss 1.5790
iter 3500: loss 0.9124, time 11536.24ms, mfu 2.82%
iter 3510: loss 0.9192, time 117.64ms, mfu 2.85%
iter 3520: loss 0.9288, time 118.11ms, mfu 2.88%
iter 3530: loss 0.9618, time 119.12ms, mfu 2.91%
iter 3540: loss 0.9365, time 117.74ms, mfu 2.93%
iter 3550: loss 0.9271, time 119.34ms, mfu 2.95%
iter 3560: loss 0.9566, time 118.31ms, mfu 2.97%
iter 3570: loss 0.9421, time 117.99ms, mfu 2.99%
iter 3580: loss 0.9393, time 120.68ms, mfu 3.00%
iter 3590: loss 0.9363, time 117.90ms, mfu 3.02%
iter 3600: loss 0.9414, time 117.51ms, mfu 3.03%
iter 3610: loss 0.9119, time 118.23ms, mfu 3.04%
iter 3620: loss 0.9183, time 119.74ms, mfu 3.05%
iter 3630: loss 0.9337, time 117.68ms, mfu 3.06%
iter 3640: loss 0.9236, time 117.89ms, mfu 3.07%
iter 3650: loss 0.9230, time 118.24ms, mfu 3.08%
iter 3660: loss 0.9367, time 118.74ms, mfu 3.09%
iter 3670: loss 0.9328, time 118.36ms, mfu 3.09%
iter 3680: loss 0.9116, time 117.72ms, mfu 3.10%
iter 3690: loss 0.9453, time 118.13ms, mfu 3.11%
iter 3700: loss 0.8789, time 117.67ms, mfu 3.11%
iter 3710: loss 0.8844, time 118.70ms, mfu 3.11%
iter 3720: loss 0.9087, time 117.42ms, mfu 3.12%
iter 3730: loss 0.9066, time 118.60ms, mfu 3.12%
iter 3740: loss 0.9099, time 118.35ms, mfu 3.12%
step 3750: train loss 0.7458, val loss 1.6041
iter 3750: loss 0.9085, time 11539.47ms, mfu 2.82%
iter 3760: loss 0.9402, time 117.65ms, mfu 2.85%
iter 3770: loss 0.9314, time 119.39ms, mfu 2.88%
iter 3780: loss 0.9234, time 117.85ms, mfu 2.91%
iter 3790: loss 0.9099, time 116.93ms, mfu 2.93%
iter 3800: loss 0.9155, time 118.26ms, mfu 2.96%
iter 3810: loss 0.9261, time 119.20ms, mfu 2.97%
iter 3820: loss 0.8940, time 117.32ms, mfu 2.99%
iter 3830: loss 0.9084, time 117.61ms, mfu 3.01%
iter 3840: loss 0.8902, time 118.67ms, mfu 3.02%
iter 3850: loss 0.8935, time 118.07ms, mfu 3.04%
iter 3860: loss 0.8779, time 116.13ms, mfu 3.05%
iter 3870: loss 0.8995, time 118.35ms, mfu 3.06%
iter 3880: loss 0.8879, time 117.64ms, mfu 3.07%
iter 3890: loss 0.8977, time 120.19ms, mfu 3.08%
iter 3900: loss 0.8955, time 118.19ms, mfu 3.08%
iter 3910: loss 0.8916, time 119.11ms, mfu 3.09%
iter 3920: loss 0.8687, time 118.04ms, mfu 3.10%
iter 3930: loss 0.8973, time 117.42ms, mfu 3.10%
iter 3940: loss 0.8796, time 119.03ms, mfu 3.11%
iter 3950: loss 0.8840, time 118.28ms, mfu 3.11%
iter 3960: loss 0.9116, time 116.77ms, mfu 3.12%
iter 3970: loss 0.9032, time 118.26ms, mfu 3.12%
iter 3980: loss 0.9049, time 118.02ms, mfu 3.13%
iter 3990: loss 0.8861, time 119.33ms, mfu 3.13%
step 4000: train loss 0.7133, val loss 1.6323
iter 4000: loss 0.8708, time 11536.70ms, mfu 2.82%
iter 4010: loss 0.8823, time 118.11ms, mfu 2.85%
iter 4020: loss 0.8962, time 119.12ms, mfu 2.88%
iter 4030: loss 0.8862, time 119.02ms, mfu 2.90%
iter 4040: loss 0.8780, time 118.95ms, mfu 2.93%
iter 4050: loss 0.8738, time 118.50ms, mfu 2.95%
iter 4060: loss 0.8704, time 119.84ms, mfu 2.96%
iter 4070: loss 0.8582, time 116.90ms, mfu 2.99%
iter 4080: loss 0.8897, time 118.26ms, mfu 3.00%
iter 4090: loss 0.8496, time 120.66ms, mfu 3.01%
iter 4100: loss 0.9025, time 118.37ms, mfu 3.02%
iter 4110: loss 0.8779, time 117.25ms, mfu 3.04%
iter 4120: loss 0.8923, time 117.06ms, mfu 3.05%
iter 4130: loss 0.8643, time 118.13ms, mfu 3.06%
iter 4140: loss 0.8882, time 117.28ms, mfu 3.08%
iter 4150: loss 0.8743, time 117.96ms, mfu 3.08%
iter 4160: loss 0.8677, time 118.53ms, mfu 3.09%
iter 4170: loss 0.8698, time 117.99ms, mfu 3.10%
iter 4180: loss 0.8799, time 118.07ms, mfu 3.10%
